Date,Video views,Reached audience,Profile views,Likes,Shares,Comments,Product link clicks,Product link complete payment,Product link GMV,Website clicks ,Phone number clicks ,App download link clicks,Net growth,New followers,Lost followers
2024/04/01,274,242,0,3,0,0,0,0,0,0,0,0,1,1,0
2024/04/02,262,237,1,4,0,0,0,0,0,0,0,0,0,0,0
2024/04/03,34,30,0,1,0,0,0,0,0,0,0,0,0,0,0
2024/04/04,125,102,1,2,0,0,0,0,0,0,0,0,0,0,0
2024/04/05,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/04/06,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0
2024/04/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/04/08,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/04/09,253,225,1,8,0,0,0,0,0,0,0,0,0,0,0
2024/04/10,19115,17306,28,95,5,1,0,0,0,1,0,0,3,3,0
2024/04/11,12122,10462,31,111,11,2,0,0,0,0,0,0,68,68,0
2024/04/12,3932,3450,44,54,1,0,0,0,0,4,0,0,13,13,0
2024/04/13,1482,1200,27,15,3,1,0,0,0,5,0,0,7,7,0
2024/04/14,1113,963,20,10,3,0,0,0,0,4,0,0,4,4,0
2024/04/15,14120,12661,38,84,6,2,0,0,0,2,0,0,57,57,0
2024/04/16,8689,7534,18,127,1,0,0,0,0,0,0,0,94,94,0
2024/04/17,4256,3254,31,95,11,1,0,0,0,0,0,0,81,82,1
2024/04/18,1750,1449,9,53,1,1,0,0,0,0,0,0,42,42,0
2024/04/19,1428,1253,20,17,5,0,0,0,0,1,0,0,16,18,2
2024/04/20,1239,1075,20,11,8,1,0,0,0,1,0,0,8,9,1
2024/04/21,358,299,8,5,1,0,0,0,0,1,0,0,3,4,1
2024/04/22,1001,888,8,4,0,0,0,0,0,1,0,0,4,4,0
2024/04/23,971,879,3,1,0,0,0,0,0,0,0,0,1,2,1
2024/04/24,753,661,0,6,2,0,0,0,0,0,0,0,-1,1,2
2024/04/25,2031,1718,3,46,0,0,0,0,0,1,0,0,29,32,3
2024/04/26,1228,963,5,41,1,0,0,0,0,0,0,0,29,30,1
2024/04/27,1975,1574,13,38,0,0,0,0,0,0,0,0,43,44,1
2024/04/28,3300,2610,15,44,1,0,0,0,0,0,0,0,36,37,1
