Date,Video views,Reached audience,Profile views,Likes,Shares,Comments,Product link clicks,Product link complete payment,Product link GMV,Website clicks ,Phone number clicks ,App download link clicks,Net growth,New followers,Lost followers
2024/07/01,22,NAN,1,0,0,0,0,0,0,0,0,0,-1,0,1
2024/07/02,26,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/03,10,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/04,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2024/07/05,8,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/06,16,11,0,9,0,0,0,0,0,0,0,0,0,0,0
2024/07/07,5,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/08,981,974,3,41,0,0,0,0,0,0,0,0,0,0,0
2024/07/09,613,595,1,1,0,0,0,0,0,0,0,0,1,1,0
2024/07/10,674,669,1,14,1,0,0,0,0,0,0,0,0,0,0
2024/07/11,663,658,1,56,1,0,0,0,0,0,0,0,-1,0,1
2024/07/12,672,663,3,38,1,1,0,0,0,0,0,0,0,0,0
2024/07/13,6,NAN,0,0,0,0,0,0,0,0,0,0,-1,0,1
2024/07/14,0,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/15,570,565,2,15,0,0,0,0,0,0,0,0,0,0,0
2024/07/16,649,644,4,5,0,0,0,0,0,0,0,0,1,1,0
2024/07/17,715,701,6,18,0,0,0,0,0,0,0,0,0,0,0
2024/07/18,653,643,1,7,0,0,0,0,0,0,0,0,1,1,0
2024/07/19,4292,4263,15,61,0,1,0,0,0,0,0,0,6,7,1
2024/07/20,393,366,4,2,0,0,0,0,0,0,0,0,1,2,1
2024/07/21,165,3,1,3,0,0,0,0,0,0,0,0,1,1,0
2024/07/22,821,677,3,1,0,0,0,0,0,0,0,0,0,0,0
2024/07/23,224,214,2,3,0,0,0,0,0,0,0,0,0,0,0
2024/07/24,95,NAN,0,0,0,0,0,0,0,0,0,0,-1,0,1
