Date,Video views,Reached audience,Profile views,Likes,Shares,Comments,Product link clicks,Product link complete payment,Product link GMV,Website clicks ,Phone number clicks ,App download link clicks,Net growth,New followers,Lost followers
2024/06/01,15,NAN,1,-1,0,0,0,0,0,0,0,0,0,0,0
2024/06/02,628,616,1,4,1,0,0,0,0,0,0,0,2,2,0
2024/06/03,14,NAN,1,0,0,0,0,0,0,0,0,0,-1,0,1
2024/06/04,13,NAN,0,0,0,0,0,0,0,0,0,0,0,1,1
2024/06/05,31,NAN,1,0,0,0,0,0,0,0,0,0,-1,0,1
2024/06/06,26,3,3,1,0,0,0,0,0,0,0,0,0,0,0
2024/06/07,9,NAN,0,0,0,0,0,0,0,0,0,0,2,2,0
2024/06/08,6,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/06/09,11,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/06/10,1000,991,3,3,0,0,0,0,0,0,0,0,1,1,0
2024/06/11,259,247,0,5,0,0,0,0,0,0,0,0,0,0,0
2024/06/12,3882,3397,12,21,0,0,0,0,0,0,0,0,0,0,0
2024/06/13,39200,39134,63,264,1,0,0,0,0,1,0,0,7,8,1
2024/06/14,7417,7380,10,54,2,0,0,0,0,0,0,0,1,1,0
2024/06/15,248,190,1,17,0,0,0,0,0,0,0,0,-1,0,1
2024/06/16,31,NAN,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/06/17,295,270,2,26,1,0,0,0,0,0,0,0,1,1,0
2024/06/18,324,263,2,21,0,0,0,0,0,0,0,0,1,2,1
2024/06/19,364,331,1,11,0,0,0,0,0,0,0,0,-1,0,1
2024/06/20,494,475,3,26,0,0,0,0,0,0,0,0,1,1,0
2024/06/21,29,18,0,1,0,0,0,0,0,0,0,0,-2,0,2
2024/06/22,10,NAN,1,0,0,0,0,0,0,0,0,0,0,0,0
2024/06/23,15,NAN,1,0,0,0,0,0,0,0,0,0,0,0,0
2024/06/24,8,NAN,1,0,0,0,0,0,0,0,0,0,-2,0,2
2024/06/25,535,505,3,16,0,0,0,0,0,1,0,0,-1,0,1
2024/06/26,17,8,2,1,0,0,0,0,0,1,0,0,0,0,0
2024/06/27,13,NAN,1,0,0,0,0,0,0,0,0,0,0,0,0
2024/06/28,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0
